subject,relation,object,sentence
major comorbidities,include,heart disease,"The major comorbidities of the fatality cases include hypertension, diabetes, coronary heart disease, cerebral infarction, and chronic bronchitis."
major comorbidities,include,infarction,"The major comorbidities of the fatality cases include hypertension, diabetes, coronary heart disease, cerebral infarction, and chronic bronchitis."
major comorbidities,include,coronary heart disease,"The major comorbidities of the fatality cases include hypertension, diabetes, coronary heart disease, cerebral infarction, and chronic bronchitis."
major comorbidities,include,hypertension,"The major comorbidities of the fatality cases include hypertension, diabetes, coronary heart disease, cerebral infarction, and chronic bronchitis."
major comorbidities,include,chronic bronchitis,"The major comorbidities of the fatality cases include hypertension, diabetes, coronary heart disease, cerebral infarction, and chronic bronchitis."
major comorbidities,include,bronchitis,"The major comorbidities of the fatality cases include hypertension, diabetes, coronary heart disease, cerebral infarction, and chronic bronchitis."
major comorbidities,include,cerebral infarction,"The major comorbidities of the fatality cases include hypertension, diabetes, coronary heart disease, cerebral infarction, and chronic bronchitis."
major comorbidities,include,diabetes,"The major comorbidities of the fatality cases include hypertension, diabetes, coronary heart disease, cerebral infarction, and chronic bronchitis."
2019-nCoV,can cause,illness,"Although 2019-nCoV can cause a severe respiratory illness like SARS and MERS, evidence from clinics suggested that 2019-nCoV is generally less pathogenic than SARS-CoV, and much less than MERS-CoV."
2019-nCoV,illness like,SARS,"Although 2019-nCoV can cause a severe respiratory illness like SARS and MERS, evidence from clinics suggested that 2019-nCoV is generally less pathogenic than SARS-CoV, and much less than MERS-CoV."
2019-nCoV,is generally less pathogenic than,SARS-CoV,"Although 2019-nCoV can cause a severe respiratory illness like SARS and MERS, evidence from clinics suggested that 2019-nCoV is generally less pathogenic than SARS-CoV, and much less than MERS-CoV."
2019-nCoV,is,pathogenic,"Although 2019-nCoV can cause a severe respiratory illness like SARS and MERS, evidence from clinics suggested that 2019-nCoV is generally less pathogenic than SARS-CoV, and much less than MERS-CoV."
2019-nCoV,can cause,respiratory illness,"Although 2019-nCoV can cause a severe respiratory illness like SARS and MERS, evidence from clinics suggested that 2019-nCoV is generally less pathogenic than SARS-CoV, and much less than MERS-CoV."
2019-nCoV pneumonia,showed,involvement of opacity,"The 2019-nCoV pneumonia basically showed a multifocal or unifocal involvement of ground-glass opacity (GGO), sometimes with consolidation and fibrosis."
2019-nCoV pneumonia,basically showed,multifocal involvement of ground-glass opacity with consolidation,"The 2019-nCoV pneumonia basically showed a multifocal or unifocal involvement of ground-glass opacity (GGO), sometimes with consolidation and fibrosis."
2019-nCoV pneumonia,basically showed,multifocal involvement of ground-glass opacity sometimes with consolidation,"The 2019-nCoV pneumonia basically showed a multifocal or unifocal involvement of ground-glass opacity (GGO), sometimes with consolidation and fibrosis."
2019-nCoV pneumonia,basically showed,involvement of ground-glass opacity,"The 2019-nCoV pneumonia basically showed a multifocal or unifocal involvement of ground-glass opacity (GGO), sometimes with consolidation and fibrosis."
2019-nCoV pneumonia,showed,involvement of opacity with consolidation,"The 2019-nCoV pneumonia basically showed a multifocal or unifocal involvement of ground-glass opacity (GGO), sometimes with consolidation and fibrosis."
2019-nCoV pneumonia,basically showed,involvement of opacity,"The 2019-nCoV pneumonia basically showed a multifocal or unifocal involvement of ground-glass opacity (GGO), sometimes with consolidation and fibrosis."
2019-nCoV pneumonia,basically showed,multifocal involvement of opacity with consolidation,"The 2019-nCoV pneumonia basically showed a multifocal or unifocal involvement of ground-glass opacity (GGO), sometimes with consolidation and fibrosis."
2019-nCoV pneumonia,showed,multifocal involvement of ground-glass opacity with consolidation,"The 2019-nCoV pneumonia basically showed a multifocal or unifocal involvement of ground-glass opacity (GGO), sometimes with consolidation and fibrosis."
